seqnames	start	end	width	strand	name	chromROM	other_name	fid	chromBY	startn	endn	startnSY	endnSY	chromSY	chr	startsc1	endsc1	othernames	status	newname	rif1_Hafner	rif1RBM	fkh1fkh2_Knott	ctf19_Natsume
CP026301.1	6314	7313	1000	+	ARS102.5	chrI	ARS102.5	2	CP026301.1	6314	7313	6243876	6244876	CP029160.1	chr1	6136	7136	proARS103	Confirmed	ARS102.5	rep	null	NA	null
CP026301.1	8176	8725	550	+	ARS103	chrI	ARS103	3	CP026301.1	8176	8725	6245739	6246288	CP029160.1	chr1	7998	8548	proARS103	Confirmed	ARS103	rep	null	NA	null
CP026301.1	9953	10662	710	+	Likely_chrI_1	chrI	ARSI_10	4	CP026301.1	9953	10662	6247516	6248225	CP029160.1	chr1	9775	10485	NA	Likely	Likely_chrI	rep	null	NA	null
CP026301.1	17415	18124	710	+	Likely_chrI_2	chrI	ARSI_17	5	CP026301.1	17415	18124	6254978	6255687	CP029160.1	chr1	16855	17565	NA	Likely	Likely_chrI	rep	null	NA	null
CP026301.1	31510	31747	238	+	ARS104	chrI	ARS104	6	CP026301.1	31510	31747	6269074	6269309	CP029160.1	chr1	30946	31184	proARS104	Confirmed	ARS104	NA	NA	act	null
CP026301.1	41279	43863	2585	+	ARS105	chrI	ARS105	7	CP026301.1	41279	43863	6278842	6281426	CP029160.1	chr1	40716	43300	proARS105	Confirmed	ARS105	rep	NA	null	null
CP026301.1	70820	71052	233	+	ARS106	chrI	ARS106	8	CP026301.1	70820	71052	6308383	6308615	CP029160.1	chr1	70258	70491	proARS106	Confirmed	ARS106	null	null	rep	null
CP026301.1	99329	106328	7000	+	Likely_chrI_3	chrI	ARSI_102	9	CP026301.1	99329	106328	6336894	6343893	CP029160.1	chr1	98769	105769	NA	Likely	Likely_chrI	NA	NA	NA	null
CP026301.1	124910	125158	249	+	ARS107	chrI	ARS107	10	CP026301.1	124910	125158	6362475	6362723	CP029160.1	chr1	124350	124599	proARS107	Confirmed	ARS107	null	null	null	null
CP026301.1	137462	138461	1000	+	ARS107.5	chrI	ARS107.5	11	CP026301.1	137462	138461	6375027	6376026	CP029160.1	chr1	136900	137900	NA	Confirmed	ARS107.5	NA	NA	null	act
CP026301.1	147266	148252	987	+	ARS108	chrI	ARS108	12	CP026301.1	147266	148252	6384831	6385817	CP029160.1	chr1	146703	147690	proARS108	Confirmed	ARS108	act	null	null	act
CP026301.1	160469	160689	221	+	ARS109	chrI	ARS109	13	CP026301.1	160469	160689	6397759	6397979	CP029160.1	chr1	159906	160127	ARS101, proARS109	Confirmed	ARS109	NA	NA	null	act
CP026301.1	162563	170567	8005	+	Likely_chrI_4	chrI	ARSI_166	14	CP026301.1	162563	170567	6399853	6407857	CP029160.1	chr1	162000	170000	NA	Likely	Likely_chrI	NA	NA	rep	act
CP026301.1	176719	176966	248	+	ARS110	chrI	ARS110	15	CP026301.1	176719	176966	6414009	6414256	CP029160.1	chr1	176154	176402	ADE1	Confirmed	ARS110	null	null	act	act
CP026301.1	197953	198662	710	+	Likely_chrI_5	chrI	ARSI_198	16	CP026301.1	197953	198662	6435243	6435952	CP029160.1	chr1	197385	198095	NA	Likely	Likely_chrI	NA	NA	NA	null
CP026301.1	203337	210338	7002	+	Likely_chrI_6	chrI	ARSI_206	17	CP026301.1	203337	203742	6440627	6441032	CP029160.1	chr1	202769	209769	NA	Likely	Likely_chrI	NA	NA	NA	null
NA	NA	NA	NA	NA	ARS102	chrI	NA	NA	NA	NA	NA	NA	NA	NA	chr1	650	1791	proARS102	Confirmed	ARS102	NA	NA	NA	null
NA	NA	NA	NA	NA	ARS111	chrI	NA	NA	NA	NA	NA	NA	NA	NA	chr1	214879	215635	proARS111	Confirmed	ARS111	NA	NA	NA	null
NA	NA	NA	NA	NA	ARS112	chrI	NA	NA	NA	NA	NA	NA	NA	NA	chr1	222871	224037	NA	Confirmed	ARS112	NA	NA	NA	null
NA	NA	NA	NA	NA	ARS113	chrI	NA	NA	NA	NA	NA	NA	NA	NA	chr1	226100	227000	NA	Confirmed	ARS113	NA	NA	NA	null
NA	NA	NA	NA	NA	Likely_chrI_7	chrI	NA	NA	NA	NA	NA	NA	NA	NA	chr1	229635	230208	NA	Likely	Likely_chrI	NA	NA	NA	null
CP026296.1	29069	29287	219	+	ARS201.5	chrII	ARS201.5	24	CP026296.1	29069	29287	6460887	6461105	CP029160.1	chr2	28933	29152	ARS230	Confirmed	ARS201.5	rep	NA	NA	null
CP026296.1	38759	39203	445	+	ARS201.7	chrII	ARS201.7	25	CP026296.1	38759	39203	6470577	6471021	CP029160.1	chr2	38623	39068	NA	Confirmed	ARS201.7	NA	NA	null	null
CP026296.1	63316	63550	235	+	ARS202	chrII	ARS202	26	CP026296.1	63316	63550	6495138	6495372	CP029160.1	chr2	63186	63421	proARS202	Confirmed	ARS202	null	null	act	null
CP026296.1	70780	73479	2700	+	Likely_chrII_1	chrII	ARSII_72	27	CP026296.1	70780	73479	6502599	6505298	CP029160.1	chr2	70650	73350	NA	Likely	Likely_chrII	NA	NA	null	null
CP026296.1	80331	81529	1199	+	Dubious_chrII_1	chrII	NA	28	CP026296.1	80331	81529	6512150	6513348	CP029160.1	chr2	80201	81401	NA	Dubious	Dubious_chrII	NA	NA	null	null
CP026296.1	93530	93929	400	+	ARS203	chrII	ARS203	29	CP026296.1	93530	93929	6525350	6525749	CP029160.1	chr2	93410	93811	proARS203	Confirmed	ARS203	NA	NA	rep	null
CP026296.1	95497	97556	2060	+	Dubious_chrII_2	chrII	proARS204	30	CP026296.1	95497	97556	6527317	6529376	CP029160.1	chr2	95377	97400	proARS204	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	99922	100985	1064	+	Dubious_chrII_3	chrII	proARS205	31	CP026296.1	99922	100985	6531742	6532805	CP029160.1	chr2	99765	100829	proARS205	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	121458	136455	14998	+	Dubious_chrII_4	chrII	NA	32	CP026296.1	121458	136455	6553278	6568277	CP029160.1	chr2	121302	136302	NA	Dubious	Dubious_chrII	NA	NA	NA	null
CP026296.1	143021	144168	1148	+	ARS206	chrII	ARS206	33	CP026296.1	143021	144168	6574844	6575991	CP029160.1	chr2	142868	144016	proARS206	Confirmed	ARS206	null	rep	rep	null
CP026296.1	170203	170451	249	+	ARS207	chrII	ARS207	34	CP026296.1	170203	170451	6602027	6602275	CP029160.1	chr2	170049	170298	proARS207	Confirmed	ARS207	null	null	null	null
CP026296.1	177682	178029	348	+	ARS207.1	chrII	ARS207.1	35	CP026296.1	177682	178029	6609507	6609854	CP029160.1	chr2	177529	177877	ARS207.3	Confirmed	ARS207.1	null	null	NA	null
CP026296.1	187358	188067	710	+	Likely_chrII_2	chrII	ARSII_128	36	CP026296.1	187358	188067	6619183	6619892	CP029160.1	chr2	187205	187915	NA	Likely	Likely_chrII	NA	NA	NA	null
CP026296.1	198346	198586	241	+	ARS207.5	chrII	ARS207.5	37	CP026296.1	198346	198586	6630171	6630411	CP029160.1	chr2	198193	198434	ARS231	Confirmed	ARS207.5	null	null	act	null
CP026296.1	209341	210216	876	+	ARS207.8	chrII	ARS207.8	38	CP026296.1	209341	210216	6641166	6642041	CP029160.1	chr2	209187	210063	NA	Confirmed	ARS207.8	NA	NA	act	null
CP026296.1	221993	236992	15000	+	Dubious_chrII_5	chrII	NA	39	CP026296.1	221993	236992	6653818	6668817	CP029160.1	chr2	221842	236842	NA	Dubious	Dubious_chrII	NA	NA	NA	act
CP026296.1	237796	238030	235	+	ARS208	chrII	ARS208	40	CP026296.1	237796	237895	6669621	6669720	CP029160.1	chr2	237644	237879	proARS208	Confirmed	ARS208	null	null	null	act
CP026296.1	239001	254001	15001	+	Dubious_chrII_6	chrII	NA	41	CP026296.1	239001	254001	6669815	6684814	CP029160.1	chr2	238849	253849	NA	Dubious	Dubious_chrII	NA	NA	NA	act
