chrom	start	end	rif1_	rif1_RVxF/SILK	rif1_RBM
chrI	650	1791	.	.	.
chrI	6136	7136	pos	pos	no difference
chrI	7998	8548	pos	pos	no difference
chrI	9775	10485	pos	pos	no difference
chrI	16855	17565	pos	pos	no difference
chrI	30946	31184	.	.	.
chrI	40716	43300	pos	pos	.
chrI	70258	70491	no difference	no difference	no difference
chrI	98769	105769	.	no difference	.
chrI	124350	124599	no difference	.	no difference
chrI	136900	137900	.	.	.
chrI	146703	147690	neg	no difference	no difference
chrI	159906	160127	.	.	.
chrI	162000	170000	.	.	.
chrI	176154	176402	no difference	no difference	no difference
chrI	197385	198095	non common peak	.	.
chrI	202769	209769	non common peak	.	.
chrI	214879	215635	.	.	.
chrI	222871	224037	.	.	.
chrI	226100	227000	.	.	.
chrI	229635	230208	.	.	.
chrII	39	686	.	.	.
chrII	6123	7127	.	.	.
chrII	28933	29152	pos	.	.
chrII	38623	39068	.	.	.
chrII	63186	63421	no difference	no difference	no difference
chrII	70650	73350	.	.	.
chrII	93410	93811	non common peak	.	.
chrII	142868	144016	no difference	no difference	neg
chrII	170049	170298	no difference	.	no difference
chrII	177529	177877	no difference	.	no difference
chrII	187205	187915	.	.	.
chrII	198193	198434	no difference	no difference	no difference
chrII	209187	210063	.	.	.
chrII	237644	237879	no difference	no difference	no difference
chrII	254890	255136	no difference	no difference	no difference
chrII	258430	259601	no difference	no difference	no difference
chrII	283015	283913	.	.	.
chrII	326099	326335	neg	neg	no difference
chrII	378434	379194	.	.	.
chrII	389245	390368	.	.	.
chrII	407831	408064	no difference	no difference	no difference
chrII	417739	418035	.	.	.
chrII	440859	441697	.	.	.
chrII	486661	486909	no difference	no difference	no difference
chrII	497650	499350	.	.	.
chrII	503701	505102	.	.	.
chrII	516805	517805	non common peak	.	.
chrII	539137	539699	no difference	.	no difference
chrII	543600	553600	no difference	.	no difference
chrII	582650	584350	.	.	.
chrII	591424	591713	no difference	no difference	no difference
chrII	611269	613200	.	.	.
chrII	622625	622894	no difference	no difference	no difference
chrII	627135	627845	no difference	no difference	no difference
