Origin Name (Primary)	Origin Name (Secondary)	Origin Chromosome	Origin Start Coordinate	Origin End Coordinate	Regulation in fkh1_	Regulation in fkh2_	Regulation in fkh1_ fkh2_	Regulation in fkh1_ fkh2_2C
ARS104	proARS104	1	30946	31184	0	0	-1	-1
ARS105	proARS105	1	40716	43300	0	0	0	0
ARS106	proARS106	1	70258	70491	0	0	1	1
ARS107	proARS107	1	124350	124599	0	0	0	0
ARS107.5	NA	1	136900	137900	0	0	0	0
ARS108	proARS108	1	146703	147690	0	0	0	0
ARS109	ARS101	1	159906	160127	0	0	0	0
NA	NA	1	162000	170000	0	0	1	0
ARS110	ADE1	1	176154	176402	0	0	-1	-1
NA	NA	2	33000	41000	0	0	0	0
ARS202	proARS202	2	63186	63421	0	0	-1	-1
NA	NA	2	70781	85781	0	0	0	-1
ARS203	proARS203	2	93410	93811	0	0	1	1
ARS206	proARS206	2	142868	144016	0	0	1	1
ARS207	proARS207	2	170049	170298	0	0	0	0
ARS207.5	ARS231	2	198193	198434	0	0	-1	0
ARS207.8	NA	2	209187	210063	0	0	-1	-1
ARS208	proARS208	2	237644	237879	0	0	0	0
ARS209	ARSH4	2	254890	255136	0	0	0	0
NA	NA	2	262978	269978	1	0	0	0
ARS210.5	NA	2	283015	283913	0	0	0	0
ARS211	proARS211	2	326099	326335	0	0	0	0
ARS212	proARS212	2	378434	379194	0	0	1	1
ARS213	proARS213	2	389245	390368	0	0	0	0
ARS214	proARS214	2	407831	408064	0	0	0	0
ARS215	proARS215	2	417739	418035	0	0	0	1
ARS216	proARS216	2	486661	486909	-1	0	-1	-1
ARS218	proARS218	2	539137	539699	0	0	0	0
ARS219.5	NA	2	611269	613200	0	0	0	0
ARS220	proARS220	2	622625	622894	0	0	-1	-1
ARS221	proARS221	2	631934	632246	-1	0	-1	-1
ARS222.5	NA	2	707158	708262	0	0	1	0
ARS223	proARS223	2	720601	721038	0	0	0	0
ARS224	proARS224	2	741512	741802	0	0	0	0
ARS225	proARS225	2	757390	757621	0	0	1	1
ARS227	proARS227	2	773918	774348	0	0	0	0
ARS229	proARS229	2	801930	802617	-1	0	-1	-1
ARS304	NA	3	30199	30657	0	0	0	0
ARS305	ARSA6C	3	39158	39706	-1	0	-1	-1
ARS306	NA	3	74457	74677	0	0	-1	-1
ARS307	ARSC2G1	3	108775	109291	0	0	0	0
ARS308	NA	3	114314	114933	1	0	1	1
ARS309	proARS309	3	131978	132322	0	0	0	0
ARS310	proARS310	3	166494	167340	0	0	-1	0
ARS315	NA	3	224807	225053	0	0	-1	0
ARS316	proARS316	3	272844	273088	0	0	0	0
ARS404	proARS404	4	46181	46237	0	0	0	0
ARS406	proARS406	4	123617	123902	-1	0	-1	0
NA	proARS407	4	137003	138437	0	0	1	1
NA	proARS408	4	157458	158807	0	0	0	0
ARS409	proARS409	4	212420	212669	1	0	1	1
ARS409.5	NA	4	235935	236184	0	0	1	1
ARS410	proARS410	4	253789	254038	0	0	0	0
ARS412	proARS412	4	316719	317111	0	0	1	1
ARS413	proARS413	4	329564	329813	0	0	-1	-1
ARS414	proARS414	4	408070	408312	0	0	-1	0
ARS415	proARS415	4	435056	435388	0	0	0	0
NA	NA	4	443318	444447	1	0	1	1
ARS416	ARS1	4	462430	462700	0	0	0	0
NA	NA	4	476003	477577	0	0	0	0
ARS417	proARS417	4	483846	484091	0	0	-1	-1
ARS417.5	ARS450	4	505336	505578	0	0	0	0
ARS418	proARS418	4	555224	555461	0	0	-1	-1
ARS419	proARS419	4	567490	567737	0	0	-1	-1
ARS420	proARS420	4	629072	629669	0	0	1	1
ARS421	proARS421	4	639859	640108	0	0	1	1
ARS422	ARO1	4	702879	703125	0	0	1	1
NA	NA	4	719873	721227	0	0	1	1
ARS422.5	ARS451	4	748384	748630	0	0	-1	-1
ARS425	proARS425	4	806044	806270	0	0	0	0
ARS426.5	NA	4	844597	845593	0	0	-1	-1
NA	NA	4	857472	872472	0	0	0	0
NA	proARS427	4	898253	899887	-1	0	-1	-1
ARS428	proARS428	4	913780	914029	0	0	-1	-1
NA	NA	4	965500	980500	0	0	0	0
ARS430	proARS430	4	1016624	1016922	0	0	0	0
ARS431	proARS431	4	1057828	1058076	0	0	1	1
ARS431.5	ARS452	4	1109955	1110196	0	0	1	1
ARS432	proARS432	4	1159250	1159499	0	0	-1	-1
ARS432.5	ARS453	4	1165998	1166221	0	0	-1	-1
ARS433	proARS433	4	1240869	1241098	0	0	1	1
ARS434	proARS434	4	1276212	1276440	0	0	1	1
ARS435	proARS435	4	1302579	1302819	0	0	1	1
ARS437	proARS437	4	1353494	1353667	0	0	0	0
ARS440	proARS440	4	1404277	1404512	0	0	1	1
ARS441	proARS441	4	1447298	1448928	1	0	1	1
ARS442	proARS443	4	1461849	1462161	0	0	1	1
ARS446	proARS446	4	1486905	1487149	0	0	0	0
ARS447	proARS447	4	1502624	1503221	0	0	0	0
ARS507	proARS507	5	59282	59516	0	0	-1	-1
ARS508	proARS508	5	93977	94218	0	0	-1	-1
ARS510	proARS510	5	145539	145782	0	0	0	0
ARS511	proARS511	5	173636	173874	0	0	-1	0
ARS512	proARS512	5	212381	212630	1	0	1	1
ARS514	proARS514	5	287504	287750	0	0	0	0
NA	NA	5	301213	302387	0	0	1	1
NA	NA	5	316043	317307	-1	0	-1	-1
ARS516	tRNAgluARS	5	353504	353751	0	0	-1	-1
ARS517	proARS517	5	406747	406949	0	0	0	0
ARS518	proARS518	5	438929	439178	0	0	0	0
ARS520	proARS520	5	498417	499343	0	0	0	0
ARS521	NA	5	520767	521025	0	0	0	0
ARS522	ARS501	5	549560	549809	0	0	0	0
ARS523	proARS523	5	569020	570085	0	0	-1	-1
NA	NA	6	51814	55080	0	0	0	0
ARS603	proARS603	6	68690	68869	0	0	0	0
ARS603.1	NA	6	104456	104695	0	0	0	0
ARS603.5	proARS603.5	6	118631	118952	0	0	0	0
ARS605	proARS605	6	135979	136080	1	0	1	1
ARS606	proARS606	6	167606	168041	0	0	0	0
ARS607	proARS607	6	199382	199493	0	0	-1	-1
ARS608	NA	6	216344	216692	0	0	-1	-1
NA	NA	7	15327	19624	0	0	-1	-1
ARS702	proARS702	7	64279	64528	0	0	0	0
ARS707	proARS707	7	163180	163447	-1	0	-1	-1
NA	proARS709	7	186583	188207	0	0	0	0
ARS710	proARS710	7	203917	204159	-1	0	-1	-1
ARS714	proARS714	7	285951	286246	0	0	-1	-1
ARS716	proARS716	7	352695	352917	0	0	0	0
ARS717	proARS717	7	388658	388892	0	0	-1	-1
ARS718	proARS718	7	421093	421342	-1	0	-1	-1
ARS719	proARS719	7	484932	485160	0	0	0	0
ARS720	proARS720	7	508729	508978	0	0	0	0
ARS721	proARS721	7	568490	568738	0	0	-1	0
NA	proARS723	7	574978	576840	0	0	0	0
NA	NA	7	607563	607887	0	0	0	0
NA	NA	7	620243	622517	0	0	-1	-1
NA	proARS726	7	652703	655047	0	0	0	0
ARS727	proARS727	7	659809	660054	-1	0	-1	-1
ARS728	proARS728	7	715273	715556	-1	0	-1	-1
ARS729	proARS729	7	777967	778216	0	0	-1	-1
NA	proARS730	7	794178	795956	0	0	0	1
ARS731	proARS731	7	834492	834736	0	0	-1	-1
NA	NA	7	845923	848287	0	0	0	1
ARS731.5	ARS737	7	888350	888599	0	0	-1	-1
NA	proARS732	7	916233	917857	0	0	1	1
ARS733	proARS733	7	977730	977979	0	0	1	1
ARS734	proARS734	7	999448	999695	0	0	1	1
NA	NA	7	1061998	1064852	0	0	0	0
NA	proARS804	8	45113	47112	0	0	0	0
ARS805	proARS805	8	64255	64489	0	0	-1	-1
NA	proARS806	8	115683	117257	0	0	0	0
ARS807	NA	8	133347	133591	0	0	-1	-1
ARS809	proARS809	8	168531	168773	0	0	0	0
ARS813	proARS813	8	245719	245968	0	0	0	0
ARS815	proARS815	8	296882	297475	-1	0	-1	-1
NA	proARS816	8	358953	360647	0	0	0	0
NA	proARS817	8	380153	382157	0	0	0	0
ARS818	proARS818	8	392148	392391	0	0	0	0
NA	NA	8	395590	410590	0	0	0	0
ARS820	proARS820	8	447619	447853	0	0	-1	-1
NA	proARS821	8	474023	475267	0	0	0	0
ARS822	proARS822	8	501751	501992	0	0	0	0
NA	proARS905	9	32509	34859	0	0	0	0
ARS907	proARS907	9	73803	74220	0	0	-1	0
ARS909	proARS909	9	105821	106048	-1	0	-1	-1
ARS911	proARS911	9	136094	136335	0	0	1	1
