chrom	start	end	name	Other_name 	Genomic_location 	CTF19D
chrI	649	1791	ARS102	proARS102	ARSI_1	
chrI	6135	7136	ARS102.5	proARS103	ARSI_7	
chrI	7997	8548	ARS103	proARS103	ARSI_8	
chrI	9774	10485	Likely	NA	ARSI_10	
chrI	16854	17565	Likely	NA	ARSI_17	
chrI	30945	31184	ARS104	proARS104	ARSI_31	
chrI	40715	43300	ARS105	proARS105	ARSI_42	
chrI	70257	70491	ARS106	proARS106	ARSI_70	
chrI	98768	105769	Likely	NA	ARSI_102	
chrI	124349	124599	ARS107	proARS107	ARSI_124	
chrI	136899	137900	ARS107.5	NA	ARSI_137	p
chrI	146702	147690	ARS108	proARS108	ARSI_147	p
chrI	159905	160127	ARS109	ARS101-proARS109	ARSI_160	p
chrI	161999	170000	Likely	NA	ARSI_166	p
chrI	176153	176402	ARS110	ADE1	ARSI_176	p
chrI	197384	198095	Likely	NA	ARSI_198	
chrI	202768	209769	Likely	NA	ARSI_206	
chrI	214878	215635	ARS111	proARS111	ARSI_215	
chrI	222870	224037	ARS112	NA	ARSI_223	
chrI	226099	227000	ARS113	NA	ARSI_227	
chrI	229634	230208	Likely	NA	ARSI_230	
chrII	38	686	ARS200	NA	ARSII_0	
chrII	6122	7127	ARS201	proARS201	ARSII_7	
chrII	28932	29152	ARS201.5	ARS230	ARSII_29	
chrII	38622	39068	ARS201.7	NA	ARSII_39	
chrII	63185	63421	ARS202	proARS202	ARSII_63	
chrII	70649	73350	Likely	NA	ARSII_72	
chrII	80200	81401	Dubious	NA	ARSII_81	
chrII	93409	93811	ARS203	proARS203	ARSII_94	
chrII	95376	97400	Dubious		ARSII_96	
chrII	99764	100829	Dubious		ARSII_100	
chrII	121301	136302	Dubious		ARSII_129	
chrII	142867	144016	ARS206	proARS206	ARSII_143	
chrII	170048	170298	ARS207	proARS207	ARSII_170	
chrII	177528	177877	ARS207.1	ARS207.3	ARSII_178	
chrII	187204	187915	Likely		ARSII_188	
chrII	198192	198434	ARS207.5	ARS231	ARSII_198	
chrII	209186	210063	ARS207.8	NA	ARSII_210	
chrII	221841	236842	Dubious		ARSII_229	p
chrII	237643	237879	ARS208	proARS208	ARSII_238	p
chrII	238848	253849	Dubious		ARSII_246	p
chrII	254889	255136	ARS209	ARSH4_proARS209	ARSII_255	
chrII	258429	259601	Likely		ARSII_259	
chrII	262977	269978	Dubious	NA	ARSII_266	
chrII	279082	279847	Dubious	NA	ARSII_279	
chrII	283014	283913	ARS210.5	NA	ARSII_283	
chrII	292853	294054	Dubious	NA	ARSII_293	
chrII	295999	306000	Dubious	NA	ARSII_301	
chrII	308405	309606	Dubious	NA	ARSII_309	
chrII	326098	326335	ARS211	proARS211	ARSII_326	
chrII	341917	343118	Dubious	NA	ARSII_343	
chrII	358897	373898	Dubious	NA	ARSII_366	
chrII	378433	379194	ARS212	proARS212	ARSII_379	
chrII	389244	390368	ARS213	proARS213	ARSII_390	
chrII	407830	408064	ARS214	proARS214	ARSII_408	
chrII	417738	418035	ARS215	proARS215	ARSII_418	
chrII	440858	441697	ARS215.5	NA	ARSII_441	
chrII	477782	479267	Dubious		ARSII_479	
chrII	486660	486909	ARS216	proARS216	ARSII_487	
chrII	497649	499350	Likely		ARSII_499	
chrII	503700	505102	Likely		ARSII_504	
chrII	516804	517805	ARS217	NA	ARSII_517	
chrII	539136	539699	ARS218	proARS218	ARSII_539	
chrII	543599	553600	Likely		ARSII_549	
chrII	582649	584350	Likely		ARSII_584	
chrII	591423	591713	ARS219	proARS219	ARSII_592	
chrII	611268	613200	ARS219.5	NA	ARSII_612	
chrII	622624	622894	ARS220	proARS220	ARSII_623	
chrII	627134	627845	Likely		ARSII_627	
chrII	631933	632246	ARS221	proARS221	ARSII_632	
chrII	675946	676667	ARS221.5	NA	ARSII_676	
chrII	687530	702531	Dubious		ARSII_695	
chrII	704249	704521	ARS222	proARS222	ARSII_704	
chrII	707157	708262	ARS222.5	NA	ARSII_708	
chrII	720600	721038	ARS223	proARS223	ARSII_721	
chrII	724545	739546	Dubious		ARSII_732	
chrII	741511	741802	ARS224	proARS224	ARSII_742	
chrII	757389	757621	ARS225	proARS225	ARSII_758	
chrII	760354	761713	Likely	proARS226	ARSII_761	
chrII	773917	774348	ARS227	proARS227	ARSII_774	
chrII	792115	792340	ARS228	proARS228	ARSII_792	
chrII	796258	797162	ARS228.5	NA	ARSII_797	
chrII	801929	802617	ARS229	proARS229	ARSII_802	
chrII	810492	813067	Dubious		ARSII_812	
chrIII	836	1551	ARS300	ARSX_ARS_proARS300	ARSIII_1	
chrIII	3813	5892	Dubious		ARSIII_5	
